 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    29.745604, p2:    29.736700, p3:     4.653048, p4:     4.718731,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    29.741145, p2:    29.741145, p3:     4.685934, p4:     4.685934,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    29.736700, p2:    29.745604, p3:     4.718731, p4:     4.653048,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    19.994384, p2:    29.736700, p3:    19.994384, p4:     4.718731,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    20.000000, p2:    29.741145, p3:    20.000000, p4:     4.685934,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    20.005614, p2:    29.745604, p3:    20.005614, p4:     4.653048,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:     4.653048, p2:    29.736700, p3:    29.745604, p4:     4.718731,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:     4.685934, p2:    29.741145, p3:    29.741145, p4:     4.685934,
 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:     4.718731, p2:    29.745604, p3:    29.736700, p4:     4.653048,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    29.745604, p2:    20.005614, p3:     4.653048, p4:    20.005614,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    29.741145, p2:    20.000000, p3:     4.685934, p4:    20.000000,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    29.736700, p2:    19.994384, p3:     4.718731, p4:    19.994384,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    19.994384, p2:    20.005614, p3:    19.994384, p4:    20.005614,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    20.000000, p2:    20.000000, p3:    20.000000, p4:    20.000000,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    20.005614, p2:    19.994384, p3:    20.005614, p4:    19.994384,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:     4.653048, p2:    20.005614, p3:    29.745604, p4:    20.005614,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:     4.685934, p2:    20.000000, p3:    29.741145, p4:    20.000000,
 power:    20.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:     4.718731, p2:    19.994384, p3:    29.736700, p4:    19.994384,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    29.745604, p2:     4.718731, p3:     4.653048, p4:    29.736700,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    29.741145, p2:     4.685934, p3:     4.685934, p4:    29.741145,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    29.736700, p2:     4.653048, p3:     4.718731, p4:    29.745604,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    19.994384, p2:     4.718731, p3:    19.994384, p4:    29.736700,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    20.000000, p2:     4.685934, p3:    20.000000, p4:    29.741145,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    20.005614, p2:     4.653048, p3:    20.005614, p4:    29.745604,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:     4.653048, p2:     4.718731, p3:    29.745604, p4:    29.736700,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:     4.685934, p2:     4.685934, p3:    29.741145, p4:    29.741145,
 power:    20.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:     4.718731, p2:     4.653048, p3:    29.736700, p4:    29.745604,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    37.120272, p2:    37.120629, p3:    21.361447, p4:    21.379949,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    37.120450, p2:    37.120450, p3:    21.370701, p4:    21.370701,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    37.120629, p2:    37.120272, p3:    21.379949, p4:    21.361447,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    29.996213, p2:    37.120629, p3:    29.996213, p4:    21.379949,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    30.000000, p2:    37.120450, p3:    30.000000, p4:    21.370701,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    30.003787, p2:    37.120272, p3:    30.003787, p4:    21.361447,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    21.361447, p2:    37.120629, p3:    37.120272, p4:    21.379949,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    21.370701, p2:    37.120450, p3:    37.120450, p4:    21.370701,
 power:    30.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    21.379949, p2:    37.120272, p3:    37.120629, p4:    21.361447,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    37.120272, p2:    30.003787, p3:    21.361447, p4:    30.003787,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    37.120450, p2:    30.000000, p3:    21.370701, p4:    30.000000,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    37.120629, p2:    29.996213, p3:    21.379949, p4:    29.996213,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    29.996213, p2:    30.003787, p3:    29.996213, p4:    30.003787,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    30.000000, p2:    30.000000, p3:    30.000000, p4:    30.000000,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    30.003787, p2:    29.996213, p3:    30.003787, p4:    29.996213,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    21.361447, p2:    30.003787, p3:    37.120272, p4:    30.003787,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    21.370701, p2:    30.000000, p3:    37.120450, p4:    30.000000,
 power:    30.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    21.379949, p2:    29.996213, p3:    37.120629, p4:    29.996213,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    37.120272, p2:    21.379949, p3:    21.361447, p4:    37.120629,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    37.120450, p2:    21.370701, p3:    21.370701, p4:    37.120450,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    37.120629, p2:    21.361447, p3:    21.379949, p4:    37.120272,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    29.996213, p2:    21.379949, p3:    29.996213, p4:    37.120629,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    30.000000, p2:    21.370701, p3:    30.000000, p4:    37.120450,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    30.003787, p2:    21.361447, p3:    30.003787, p4:    37.120272,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    21.361447, p2:    21.379949, p3:    37.120272, p4:    37.120629,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    21.370701, p2:    21.370701, p3:    37.120450, p4:    37.120450,
 power:    30.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    21.379949, p2:    21.361447, p3:    37.120629, p4:    37.120272,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    45.556697, p2:    45.559089, p3:    33.802257, p4:    33.812164,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    45.557893, p2:    45.557893, p3:    33.807211, p4:    33.807211,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    45.559089, p2:    45.556697, p3:    33.812164, p4:    33.802257,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    39.997143, p2:    45.559089, p3:    39.997143, p4:    33.812164,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    40.000000, p2:    45.557893, p3:    40.000000, p4:    33.807211,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    40.002857, p2:    45.556697, p3:    40.002857, p4:    33.802257,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    33.802257, p2:    45.559089, p3:    45.556697, p4:    33.812164,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    33.807211, p2:    45.557893, p3:    45.557893, p4:    33.807211,
