 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,      p1: 45.556697,   p2: 45.559089,   p3: 33.802257,   p4: 33.812164,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,      p1: 45.557893,   p2: 45.557893,   p3: 33.807211,   p4: 33.807211,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,      p1: 45.559089,   p2: 45.556697,   p3: 33.812164,   p4: 33.802257,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,      p1: 39.997143,   p2: 45.559089,   p3: 39.997143,   p4: 33.812164,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,      p1: 40.000000,   p2: 45.557893,   p3: 40.000000,   p4: 33.807211,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,      p1: 40.002857,   p2: 45.556697,   p3: 40.002857,   p4: 33.802257,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,      p1: 33.802257,   p2: 45.559089,   p3: 45.556697,   p4: 33.812164,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,      p1: 33.807211,   p2: 45.557893,   p3: 45.557893,   p4: 33.807211,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,      p1: 33.812164,   p2: 45.556697,   p3: 45.559089,   p4: 33.802257,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,      p1: 45.556697,   p2: 40.002857,   p3: 33.802257,   p4: 40.002857,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,      p1: 45.557893,   p2: 40.000000,   p3: 33.807211,   p4: 40.000000,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,      p1: 45.559089,   p2: 39.997143,   p3: 33.812164,   p4: 39.997143,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,      p1: 39.997143,   p2: 40.002857,   p3: 39.997143,   p4: 40.002857,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:     0.000000,      p1: 40.000000,   p2: 40.000000,   p3: 40.000000,   p4: 40.000000,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:   200.000000,      p1: 40.002857,   p2: 39.997143,   p3: 40.002857,   p4: 39.997143,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,      p1: 33.802257,   p2: 40.002857,   p3: 45.556697,   p4: 40.002857,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:     0.000000,      p1: 33.807211,   p2: 40.000000,   p3: 45.557893,   p4: 40.000000,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:   200.000000,      p1: 33.812164,   p2: 39.997143,   p3: 45.559089,   p4: 39.997143,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,      p1: 45.556697,   p2: 33.812164,   p3: 33.802257,   p4: 45.559089,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,      p1: 45.557893,   p2: 33.807211,   p3: 33.807211,   p4: 45.557893,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,      p1: 45.559089,   p2: 33.802257,   p3: 33.812164,   p4: 45.556697,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,      p1: 39.997143,   p2: 33.812164,   p3: 39.997143,   p4: 45.559089,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,      p1: 40.000000,   p2: 33.807211,   p3: 40.000000,   p4: 45.557893,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,      p1: 40.002857,   p2: 33.802257,   p3: 40.002857,   p4: 45.556697,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,      p1: 33.802257,   p2: 33.812164,   p3: 45.556697,   p4: 45.559089,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,      p1: 33.807211,   p2: 33.807211,   p3: 45.557893,   p4: 45.557893,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,      p1: 33.812164,   p2: 33.802257,   p3: 45.559089,   p4: 45.556697,
 
 power:    20.000000, min:     4.653048, max:    29.745604
 power:    30.000000, min:    21.361447, max:    37.120629
 power:    40.000000, min:    33.802257, max:    45.559089
 power:    50.000000, min:    45.130793, max:    54.540582
 power:    60.000000, min:    55.978810, max:    63.830053
